Disc,TrackStart,TrackEnd,Work,Composer,Conductor,Orchestra,Year,Movements
58,6,6,The Tale of Tsar Saltan: Act III,Николай Андреевич Римский‐Корсаков,Eugene Ormandy,The Philadelphia Orchestra,1953,1
58,7,7,Suite from “The Snow Maiden”,Николай Андреевич Римский‐Корсаков,Eugene Ormandy,The Philadelphia Orchestra,1953,1
58,8,8,"Capriccio italien, op. 45: Andante un poco rubato - Allegro moderato - Andante - Presto - Allegro moderato - Presto - Prestissimo",Пётр Ильич Чайковский,Eugene Ormandy,The Philadelphia Orchestra,1953,1
58,9,9,"String Quartet no. 1, op. 11: Andante cantabile",Пётр Ильич Чайковский,Eugene Ormandy,The Philadelphia Orchestra,1953,1
59,1,1,Tannhäuser und der Sängerkrieg auf Wartburg (Paris version): Overture - Venusberg Music,Richard Wagner,Eugene Ormandy,The Philadelphia Orchestra,1953,1
59,2,2,"Lohengrin, WWV 75: Akt III",Richard Wagner,Eugene Ormandy,The Philadelphia Orchestra,1953,1
59,3,3,"Die Walküre, WWV 86B: Akt III, Scene I ""Hojotoho! Hojotoho!""",Richard Wagner,Eugene Ormandy,The Philadelphia Orchestra,1953,1
59,4,4,"Die Walküre, WWV 86B: Akt III, Scene III ""War es so schmählich, was ich verbrach""",Richard Wagner,Eugene Ormandy,The Philadelphia Orchestra,1953,1
59,5,5,"Die Meistersinger von Nürnberg, WWV 96: Akt III",Richard Wagner,Eugene Ormandy,The Philadelphia Orchestra,1953,1
59,6,6,"Die Meistersinger von Nürnberg, WWV 96: Akt III, Scene V. ""Sankt Krispin, lobet ihn!""",Richard Wagner,Eugene Ormandy,The Philadelphia Orchestra,1953,1
59,7,7,Die Meistersinger von Nürnberg: Entry of the Masters,Eugene Ormandy,Eugene Ormandy,The Philadelphia Orchestra,1953,1
60,1,1,"Estudiantina, op. 191: Introduction. Tempo di Valse - / I. Estudiantina (Refrain) - / II. Estudiantina (Couplet) - Chanson d'automne - / III. Jota de la Estudiantina - Tirana - / IV. De Cádiz al Puerto - El Tripili - Coda",Émile Waldteufel,Eugene Ormandy,The Philadelphia Orchestra,1953,1
60,2,2,"España, op. 236: Introduction. Andantino quasi Allegretto - / I. Con fuoco - Con grazia - / II. Arioso - Risoluto - / III. Leggiero - Con spirito - Amabile - / IV. Energico - Coda. Risoluto",Émile Waldteufel,Eugene Ormandy,The Philadelphia Orchestra,1953,1
60,3,3,"Pluie de diamants, op. 160: Introduction. Polonaise - / I. Con anima - Con fuoco - / II. Scherzando - Cantabile - / III. Con espressione - Scherzando - / IV. [...] - Amabile - Coda",Émile Waldteufel,Eugene Ormandy,The Philadelphia Orchestra,1953,1
60,4,4,"Les Patineurs, op. 183: Introduction. Andante / I. Espressivo / II. Risoluto / III. Espressivo - Grazioso / IV. Amabile / Coda. Risoluto",Émile Waldteufel,Eugene Ormandy,The Philadelphia Orchestra,1953,1
60,5,5,Die lustige Witwe: Akt III,Franz Lehár,Eugene Ormandy,The Philadelphia Orchestra,1953,1
